Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-23,8,8417,61943,235,95,0,1207,2022-04-23,2022-04-22,189862,635.7248949236814
2022-04-23,8,8421,40706,113,121,0,863,2022-04-23,2022-04-22,126405,682.7261579842569
2022-04-23,8,8425,65088,228,240,0,1569,2022-04-23,2022-04-22,198204,791.6086456378276
2022-04-23,8,8426,70310,276,390,0,1899,2022-04-23,2022-04-22,202250,938.9369592088999
2022-04-23,8,8435,67002,303,334,0,1359,2022-04-23,2022-04-22,217901,623.6777252054833
2022-04-23,8,8436,94638,220,427,0,2462,2022-04-23,2022-04-22,285888,861.1764047459145
2022-04-23,8,8437,47455,165,150,1,995,2022-04-23,2022-04-22,130946,759.8552074901104
2022-04-23,9,9161,47766,243,150,1,801,2022-04-23,2022-04-22,136952,584.8764530638472
2022-04-23,9,9162,487301,1970,1326,0,8936,2022-04-23,2022-04-22,1488202,600.4561208760639
2022-04-23,9,9163,24611,124,99,0,444,2022-04-23,2022-04-22,63591,698.212011133651
2022-04-23,9,9171,42420,324,116,0,860,2022-04-23,2022-04-22,111654,770.2366238558403
2022-04-23,9,9172,40828,185,74,0,525,2022-04-23,2022-04-22,106327,493.75981641539784
2022-04-23,9,9173,44483,178,130,0,725,2022-04-23,2022-04-22,128212,565.4696908245718
2022-04-23,9,9174,56045,233,218,0,1414,2022-04-23,2022-04-22,155117,911.5699762115048
2022-04-23,9,9175,49417,274,238,0,1515,2022-04-23,2022-04-22,144091,1051.4188950038517
2022-04-23,9,9176,46426,139,168,0,1182,2022-04-23,2022-04-22,133169,887.5939595551517
2022-04-23,9,9177,52246,182,348,0,1170,2022-04-23,2022-04-22,138891,842.387195714625
2022-04-23,9,9178,60285,213,169,0,1285,2022-04-23,2022-04-22,180313,712.6496702955417
2022-04-23,9,9179,69618,225,305,0,1795,2022-04-23,2022-04-22,218740,820.6089421230686
2022-04-23,9,9180,28387,148,81,1,510,2022-04-23,2022-04-22,88279,577.7138390783765
2022-04-23,9,9181,39261,122,103,0,998,2022-04-23,2022-04-22,121019,824.6638957519068
2022-04-23,9,9182,34597,182,139,0,726,2022-04-23,2022-04-22,100183,724.6738468602457
2022-04-23,9,9183,48435,299,83,0,1096,2022-04-23,2022-04-22,116483,940.909832336049
2022-04-23,9,9184,107577,362,399,0,2319,2022-04-23,2022-04-22,349685,663.1682800234497
2022-04-23,9,9185,36112,130,47,0,825,2022-04-23,2022-04-22,97730,844.1624884886933
2022-04-23,9,9186,45187,235,172,1,1055,2022-04-23,2022-04-22,129128,817.0187720711233
2022-04-23,9,9187,102469,701,547,1,2377,2022-04-23,2022-04-22,261721,908.2190576988473
2022-04-23,9,9188,40210,165,155,0,850,2022-04-23,2022-04-22,136610,622.2092086962887
2022-04-23,9,9189,72646,345,163,0,1163,2022-04-23,2022-04-22,177485,655.2666422514578
